 time            time            v(in_delay)     v(mid1_delay)   v(mid2_delay)   v(out_delay)   
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.19997738e+00  9.96099884e-05  1.19997999e+00 
 1.00000000e-13  1.00000000e-13  1.20000000e-03  1.20001728e+00  1.01308222e-04  1.19998005e+00 
 1.00033142e-13  1.00033142e-13  1.20039770e-03  1.20001729e+00  1.01308785e-04  1.19998005e+00 
 1.00099425e-13  1.00099425e-13  1.20119310e-03  1.20001732e+00  1.01309911e-04  1.19998005e+00 
 1.00231992e-13  1.00231992e-13  1.20278391e-03  1.20001737e+00  1.01312166e-04  1.19998005e+00 
 1.00497126e-13  1.00497126e-13  1.20596551e-03  1.20001748e+00  1.01316686e-04  1.19998005e+00 
 1.01027394e-13  1.01027394e-13  1.21232872e-03  1.20001770e+00  1.01325768e-04  1.19998005e+00 
 1.02087929e-13  1.02087929e-13  1.22505515e-03  1.20001817e+00  1.01344118e-04  1.19998005e+00 
 1.04209000e-13  1.04209000e-13  1.25050800e-03  1.20001919e+00  1.01381685e-04  1.19998005e+00 
 1.08451142e-13  1.08451142e-13  1.30141370e-03  1.20002147e+00  1.01460857e-04  1.19998005e+00 
 1.13109209e-13  1.13109209e-13  1.35731051e-03  1.20002421e+00  1.01554508e-04  1.19998005e+00 
 1.18730588e-13  1.18730588e-13  1.42476705e-03  1.20002773e+00  1.01677117e-04  1.19998006e+00 
 1.24814166e-13  1.24814166e-13  1.49777000e-03  1.20003167e+00  1.01821302e-04  1.19998006e+00 
 1.32246912e-13  1.32246912e-13  1.58696294e-03  1.20003660e+00  1.02012639e-04  1.19998007e+00 
 1.41150657e-13  1.41150657e-13  1.69380788e-03  1.20004259e+00  1.02261995e-04  1.19998007e+00 
 1.53379092e-13  1.53379092e-13  1.84054910e-03  1.20005097e+00  1.02637002e-04  1.19998009e+00 
 1.70643238e-13  1.70643238e-13  2.04771886e-03  1.20006312e+00  1.03225314e-04  1.19998010e+00 
 1.92169187e-13  1.92169187e-13  2.30603024e-03  1.20007883e+00  1.04049306e-04  1.19998013e+00 
 2.12269238e-13  2.12269238e-13  2.54723086e-03  1.20009403e+00  1.04905037e-04  1.19998016e+00 
 2.34571392e-13  2.34571392e-13  2.81485671e-03  1.20011143e+00  1.05947144e-04  1.19998020e+00 
 2.55369856e-13  2.55369856e-13  3.06443828e-03  1.20012808e+00  1.07002326e-04  1.19998024e+00 
 2.77854433e-13  2.77854433e-13  3.33425319e-03  1.20014646e+00  1.08227951e-04  1.19998029e+00 
 2.99413813e-13  2.99413813e-13  3.59296576e-03  1.20016436e+00  1.09480591e-04  1.19998035e+00 
 3.22395396e-13  3.22395396e-13  3.86874475e-03  1.20018370e+00  1.10893045e-04  1.19998041e+00 
 3.44860137e-13  3.44860137e-13  4.13832164e-03  1.20020279e+00  1.12344603e-04  1.19998048e+00 
 3.68517520e-13  3.68517520e-13  4.42221023e-03  1.20022304e+00  1.13942167e-04  1.19998056e+00 
 3.91931527e-13  3.91931527e-13  4.70317833e-03  1.20024318e+00  1.15586303e-04  1.19998064e+00 
 4.16362435e-13  4.16362435e-13  4.99634922e-03  1.20026425e+00  1.17361521e-04  1.19998073e+00 
 4.40755802e-13  4.40755802e-13  5.28906963e-03  1.20028532e+00  1.19187806e-04  1.19998083e+00 
 4.66047255e-13  4.66047255e-13  5.59256706e-03  1.20030714e+00  1.21130714e-04  1.19998094e+00 
 4.91465265e-13  4.91465265e-13  5.89758318e-03  1.20032902e+00  1.23126759e-04  1.19998105e+00 
 5.17707454e-13  5.17707454e-13  6.21248945e-03  1.20035154e+00  1.25225722e-04  1.19998118e+00 
 5.44210860e-13  5.44210860e-13  6.53053032e-03  1.20037417e+00  1.27377636e-04  1.19998131e+00 
 5.71498573e-13  5.71498573e-13  6.85798287e-03  1.20039732e+00  1.29619456e-04  1.19998145e+00 
 5.99161935e-13  5.99161935e-13  7.18994322e-03  1.20042064e+00  1.31912023e-04  1.19998160e+00 
 6.27596468e-13  6.27596468e-13  7.53115761e-03  1.20044441e+00  1.34282086e-04  1.19998175e+00 
 6.56508301e-13  6.56508301e-13  7.87809961e-03  1.20046836e+00  1.36698970e-04  1.19998192e+00 
 6.86200128e-13  6.86200128e-13  8.23440153e-03  1.20049273e+00  1.39181443e-04  1.19998209e+00 
 7.16464061e-13  7.16464061e-13  8.59756873e-03  1.20051731e+00  1.41705382e-04  1.19998226e+00 
 7.47535966e-13  7.47535966e-13  8.97043159e-03  1.20054227e+00  1.44283420e-04  1.19998245e+00 
 7.79272211e-13  7.79272211e-13  9.35126653e-03  1.20056747e+00  1.46896361e-04  1.19998264e+00 
 8.11861768e-13  8.11861768e-13  9.74234121e-03  1.20059304e+00  1.49552215e-04  1.19998283e+00 
 8.45210783e-13  8.45210783e-13  1.01425294e-02  1.20061888e+00  1.52235526e-04  1.19998303e+00 
 8.79474721e-13  8.79474721e-13  1.05536966e-02  1.20064508e+00  1.54950733e-04  1.19998324e+00 
 9.14599291e-13  9.14599291e-13  1.09751915e-02  1.20067158e+00  1.57685185e-04  1.19998344e+00 
 9.50717669e-13  9.50717669e-13  1.14086120e-02  1.20069845e+00  1.60440638e-04  1.19998366e+00 
 9.87807787e-13  9.87807787e-13  1.18536934e-02  1.20072567e+00  1.63206491e-04  1.19998387e+00 
 1.02598947e-12  1.02598947e-12  1.23118736e-02  1.20075329e+00  1.65982483e-04  1.19998409e+00 
